Stage3, S1_P2, SHORT_ACTION, SHORT_5, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_6, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_7, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_8, 0.0, 0.012029013027162059
Stage3, S1_P2, SHORT_ACTION, SHORT_9, 0.0, 0.012029013027162059
Stage3, S1_P2, ST_ACTION, OPTION, 0.0, 0.012029013027162059
Stage3, S1_P2, ST_ACTION, RESTRICT, 0.0, 0.012029013027162059
Stage3, S1_P2, ST_ACTION, SPOT, 0.0, 0.012029013027162059
Stage3, S2_P2, EXP_VOP_ACTION, DESAL, 442710.74380159547, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_1, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_10, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_2, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_3, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_4, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_5, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_6, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_7, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_8, 0.0, 0.00801934201810804
Stage3, S2_P2, SHORT_ACTION, SHORT_9, 0.0, 0.00801934201810804
Stage3, S2_P2, ST_ACTION, OPTION, 0.0, 0.00801934201810804
Stage3, S2_P2, ST_ACTION, RESTRICT, 0.0, 0.00801934201810804
Stage3, S2_P2, ST_ACTION, SPOT, 0.0, 0.00801934201810804
Stage3, S3_P2, EXP_VOP_ACTION, DESAL, 442710.74380156747, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_1, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_10, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_2, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_3, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_4, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_5, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_6, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_7, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_8, 0.0, 0.03207736807243216
Stage3, S3_P2, SHORT_ACTION, SHORT_9, 0.0, 0.03207736807243216
Stage3, S3_P2, ST_ACTION, OPTION, 0.0, 0.03207736807243216
Stage3, S3_P2, ST_ACTION, RESTRICT, 0.0, 0.03207736807243216
