FirstStage, RootNode, NoShortageScenario, FirstStageCost, None, 1001501560.0
FirstStage, RootNode, S1Scenario, FirstStageCost, None, 1001501560.0
FirstStage, RootNode, S2Scenario, FirstStageCost, None, 1001501560.0
FirstStage, RootNode, S3Scenario, FirstStageCost, None, 1001501560.0
FirstStage, RootNode, S4Scenario, FirstStageCost, None, 1001501560.0
SecondStage, NoShortageNode, NoShortageScenario, SecondStageCost, None, 0.0
SecondStage, S1Node, S1Scenario, SecondStageCost, None, 0.0
SecondStage, S2Node, S2Scenario, SecondStageCost, None, 0.0
SecondStage, S3Node, S3Scenario, SecondStageCost, None, 14100000.0
SecondStage, S4Node, S4Scenario, SecondStageCost, None, 82462560.0
