Stage3, S4_P3, ST_Q, EX_MT_OPTION, 0.0, 3e-05
Stage3, S4_P3, ST_Q, LS_RESTRICT, 0.0, 3e-05
Stage3, S4_P3, ST_Q, SPOT, 0.0, 3e-05
Stage3, S5_P3, ST_Q, EX_LT_OPTION, 0.0, 2.2000000000000003e-05
Stage3, S5_P3, ST_Q, EX_MT_OPTION, 0.0, 2.2000000000000003e-05
Stage3, S5_P3, ST_Q, LS_RESTRICT, 0.0, 2.2000000000000003e-05
Stage3, S5_P3, ST_Q, SPOT, 0.0, 2.2000000000000003e-05
Stage3, S6_P3, ST_Q, EX_LT_OPTION, 50000.0, 1.4000000000000001e-05
Stage3, S6_P3, ST_Q, EX_MT_OPTION, 0.0, 1.4000000000000001e-05
Stage3, S6_P3, ST_Q, LS_RESTRICT, 0.0, 1.4000000000000001e-05
Stage3, S6_P3, ST_Q, SPOT, 0.0, 1.4000000000000001e-05
Stage3, S7_P3, ST_Q, EX_LT_OPTION, 200000.0, 2.0000000000000003e-06
Stage3, S7_P3, ST_Q, EX_MT_OPTION, 0.0, 2.0000000000000003e-06
Stage3, S7_P3, ST_Q, LS_RESTRICT, 180000.0, 2.0000000000000003e-06
Stage3, S7_P3, ST_Q, SPOT, 50000.0, 2.0000000000000003e-06
